objno_deep2,zhelio
12011416,0.561415009792561
12023279,0.8232241349671774
13017399,1.0269450961590434
12008131,0.45956974625968733
12003729,0.5152124041121181
12003313,1.0017739630805802
11021040,0.6956538012039719
13020559,0.8722418356571282
14029818,0.6755067624097519
13049159,0.681485688402752
13026194,1.0974420231069801
13028427,0.7208784225149447
13035570,0.6654288510584994
13018058,0.3999273739435995
12005533,0.7755968977173389
12027865,1.205811823614733
14028737,0.9328125417358915
13034892,0.8089055989873108
13058802,0.5334211497060662
13034266,0.7741434034587718
12015933,1.350745746728639
13019356,0.6755067624097519
13043664,0.6770498484548051
13026703,0.8780446217514306
14034435,0.339019978501151
11045189,0.4993106545728332
12029430,0.3713178984114
12020460,0.5225803333578015
11051190,0.476701299740572
12020226,1.1319331986313281
13064313,0.999004199751715
12029047,1.0526931370855592
13064464,0.6756021740973661
14024652,1.0987349798206545
14012814,0.93854067034962
14021539,0.7314987993637302
13058710,0.42870474962310645
11027452,0.9006957818589791
13026761,0.7630599788406092
13055360,0.8734987408347505
12024872,0.93141852706059
12021021,0.8305556462601047
11051962,0.29873390355782786
12027965,0.5158191564821788
13051672,0.24447955705240182
11032750,0.44560243765866714
13055272,0.7044343988772895
11101473,0.9615884152178971
11006363,0.788128922206674
11034334,1.055645438422706
11033434,0.2883150899790742
14028987,0.6882602490331584
12004729,0.9685669779451085
14018493,0.6267054667426799
13020183,0.6338879334353376
13010247,1.0819969397357763
13003917,0.6746207362333922
12012294,1.1750574599962864
11051724,0.3047170899450955
13032491,0.45289095993998385
12101115,1.3528556925584858
12028825,0.749266634051087
11040256,1.3317555335878366
14034601,1.1942468919053164
14023103,0.5429488347527388
11015202,0.37217924419864934
14011252,0.7011270035835956
12028457,0.4849822200240288
12007663,1.027620337689724
14028119,1.161635791486861
14007176,0.4355787937774787
12025109,1.1367093501984724
14028452,0.7443808563994829
11013937,0.6276561470854188
12017074,0.6882907983171922
14016678,1.0701081937768153
14033288,0.4961455574624374
12029045,0.6780013100629334
13026732,0.7915030098104773
13027026,1.09199463371845
13025375,0.8026743454476136
13012069,0.5466197009142141
12007621,0.7299233215484161
12016619,0.801025574613734
12007683,1.0121815683352733
11045638,1.1254931516668596
13005509,0.35501080569760735
13032755,0.9769918559757841
12003637,1.022091100375251
12028626,0.35170753545303174
12032544,0.20747432157190385
14017935,0.6839577581404588
13040732,0.47137950992782285
11044620,0.21757301452207567
13034445,1.2045508226878674
13035996,1.0923068179892843
11051648,0.8058692603885619
11046508,0.4196638863831468
12024336,1.4675206669557634
13051230,0.3796333419637818
12009171,1.0617649862527643
12032532,0.8419273992704998
11007823,0.22090084314071598
14011560,1.0862807888365162
13019862,0.3407059541512139
13026080,0.853977160636233
13035330,0.350331006376255
12029226,0.9527465452632076
12012494,0.4953548818312481
14018277,0.36767123158813236
13040940,1.1610566866906888
13034137,0.9347361213434223
12023760,0.3386652199929303
12028365,0.3906319990473957
11033809,1.114724697733252
11045168,1.0197107238558778
12016592,0.48528019124515387
11007873,0.30480383104304615
